names,last_date
balance-of-trade,2068-12-31
bank-lending-rate,2025-02-28
consumer-price-index-cpi,2025-02-28
current-account-to-gdp,2022-12-31
gdp-annual-growth-rate,2068-12-31
government-debt-to-gdp,2021-12-31
unemployment-rate,2025-01-31
interest-rate,2025-02-07
inflation-rate,2025-02-28
producer-prices,2025-02-28
business-confidence,2024-12-31
manufacturing-production,2025-01-31
industrial-production-mom,2025-01-31
exports,2068-12-31
imports,2068-12-31
employment-rate,2024-12-31
money-supply-m2,2025-01-31
reverse-repo-rate,2025-02-28
foreign-exchange-reserves,2025-03-14
interbank-rate,2025-03-19
cash-reserve-ratio,2025-02-07
loan-growth,2025-02-28
consumer-confidence,2025-01-31
consumer-spending,2023-03-31
disposable-personal-income,2068-12-31
construction-output,2025-01-31
composite-pmi,2024-07-31
manufacturing-pmi,2024-07-31
services-pmi,2024-07-31
